,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
113,두산 밥캣(두산밥캣),82020,10223,5388,12.46,6.57,11.75,98.57(21),98.70(21),"9,238.40(21)",5373,6.56,48348,0.73,1275,2.94(21),31.17(21)
114,삼카(삼성카드),39768,7422,5569,18.66,14,8.88,261.28(21),^,"1,187.77(21)",4864,6.35,48552,0.64,2467,7.30(21),44.54(21)
115,삼성 카드(삼성카드),39768,7422,5569,18.66,14,8.88,261.28(21),^,"1,187.77(21)",4864,6.35,48552,0.64,2467,7.30(21),44.54(21)
116,한금주(한국금융지주),"137,861(21)",8260,6926,11.03(21),12.80(21),9.1,"1,004.41(21)",^,"2,328.63(21)",11280,5.62,134851,0.47,2560,7.62(21),20.37(21)
117,한국금융주(한국금융지주),"137,861(21)",8260,6926,11.03(21),12.80(21),9.1,"1,004.41(21)",^,"2,328.63(21)",11280,5.62,134851,0.47,2560,7.62(21),20.37(21)
118,롯데주(롯데지주),137615,5070,3635,3.68,2.64,4.01,106.89(21),79.86(21),"44,037.03(21)",2690,11.88,100683,0.32,1500,5.02(21),34.78(21)
119,롯데그룹(롯데지주),137615,5070,3635,3.68,2.64,4.01,106.89(21),79.86(21),"44,037.03(21)",2690,11.88,100683,0.32,1500,5.02(21),34.78(21)
120,아모레지(아모레G),44522,2505,1938,5.63,4.35,3.17,24.13(21),126.03(21),"7,200.87(21)",1101,35.83,37356,1.06,414,1.01(21),23.30(21)
121,아모레 g(아모레G),44522,2505,1938,5.63,4.35,3.17,24.13(21),126.03(21),"7,200.87(21)",1101,35.83,37356,1.06,414,1.01(21),23.30(21)
122,한미 약품(한미약품),13434,1592,1075,11.85,8,10.46,108.64(21),69.45(21),"2,682.80(21)",7101,37.18,72533,3.64,489,0.18(21),8.94(21)
123,한미약(한미약품),13434,1592,1075,11.85,8,10.46,108.64(21),69.45(21),"2,682.80(21)",7101,37.18,72533,3.64,489,0.18(21),8.94(21)
124,panocean(팬오션),64855,8047,7122,12.41,10.98,17.23,80.40(21),96.10(21),522.56(21),1332,4.6,8739,0.7,112,1.85(21),9.73(21)
125,펜오션(팬오션),64855,8047,7122,12.41,10.98,17.23,80.40(21),96.10(21),522.56(21),1332,4.6,8739,0.7,112,1.85(21),9.73(21)
126,신라호텔(호텔신라),50000,1121,449,2.24,0.9,7.51,360.47(21),45.60(21),242.58(21),1118,74.06,16224,5.1,204,0.26(21),28.11(21)
127,호텔 신라(호텔신라),50000,1121,449,2.24,0.9,7.51,360.47(21),45.60(21),242.58(21),1118,74.06,16224,5.1,204,0.26(21),28.11(21)
128,엔에이치투자증권(NH투자증권),154280,5186,3052,3.36,1.98,4.52,757.97(21),^,324.87(21),925,10.32,20773,0.46,461,8.40(21),35.63(21)
129,nh투자(NH투자증권),154280,5186,3052,3.36,1.98,4.52,757.97(21),^,324.87(21),925,10.32,20773,0.46,461,8.40(21),35.63(21)
130,현미포(현대미포조선),36494,-374,927,-1.03,2.54,4.29,75.94(21),54.62(21),859.07(21),2381,33.93,56853,1.42,62,,
131,현대미포(현대미포조선),36494,-374,927,-1.03,2.54,4.29,75.94(21),54.62(21),859.07(21),2381,33.93,56853,1.42,62,,
132,삼성 증권(삼성증권),171390,6803,5033,3.97,2.94,8.21,980.55(21),^,"1,226.33(21)",5665,6.24,69944,0.51,2167,8.46(21),35.15(21)
133,삼증(삼성증권),171390,6803,5033,3.97,2.94,8.21,980.55(21),^,"1,226.33(21)",5665,6.24,69944,0.51,2167,8.46(21),35.15(21)
134,비지에프리테일(BGF리테일),76042,2626,1963,3.45,2.58,22.21,220.81(21),68.85(21),"4,439.53(21)",11332,16.85,55268,3.45,3307,2.06(21),35.10(21)
135,비지엪리테일(BGF리테일),76042,2626,1963,3.45,2.58,22.21,220.81(21),68.85(21),"4,439.53(21)",11332,16.85,55268,3.45,3307,2.06(21),35.10(21)
136,현대 로템(현대로템),31611,1365,937,4.32,2.96,7.25,223.85(21),47.66(21),86.41(21),889,32.38,12686,2.27,-,-,-
137,현대rotem(현대로템),31611,1365,937,4.32,2.96,7.25,223.85(21),47.66(21),86.41(21),889,32.38,12686,2.27,-,-,-
