name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
doosan퓨얼셀(두산퓨얼셀),2909,-21,21,-0.71,0.73,0.46,34.87(21),139.42(21),"6,223.91(21)",29,1171.7,6371,5.37,44,-,-
s1(에스원),24756,2091,1520,8.45,6.14,10.3,36.74(21),109.78(21),"8,271.23(21)",4000,14.82,44602,1.33,2533,3.38(21),65.53(21)
S1(에스원),24756,2091,1520,8.45,6.14,10.3,36.74(21),109.78(21),"8,271.23(21)",4000,14.82,44602,1.33,2533,3.38(21),65.53(21)
대우 조선해양(대우조선해양),51751,-11065,-11848,-21.38,-22.89,-66.83,379.04(21),43.45(21),-181.66(21),-11043,-2.21,12383,1.97,-,-,-
대우조선 해양(대우조선해양),51751,-11065,-11848,-21.38,-22.89,-66.83,379.04(21),43.45(21),-181.66(21),-11043,-2.21,12383,1.97,-,-,-
휠라홀딩(휠라홀딩스),42386,4692,3445,11.07,8.13,13.22,85.95(21),120.56(21),"2,477.43(21)",3734,10.3,30314,1.27,1317,2.79(21),25.55(21)
휠라 홀딩스(휠라홀딩스),42386,4692,3445,11.07,8.13,13.22,85.95(21),120.56(21),"2,477.43(21)",3734,10.3,30314,1.27,1317,2.79(21),25.55(21)
oci(OCI),46874,9516,7654,20.3,16.33,21.63,82.60(21),139.94(21),"2,268.54(21)",32009,2.94,169325,0.56,2300,1.92(21),7.36(21)
오씨아이(OCI),46874,9516,7654,20.3,16.33,21.63,82.60(21),139.94(21),"2,268.54(21)",32009,2.94,169325,0.56,2300,1.92(21),7.36(21)
cj대한통운(CJ대한통운),123449,4175,2245,3.38,1.82,5.68,123.93(21),81.91(21),"2,700.68(21)",8842,10.39,177589,0.52,7,-,-
CJ 대한통운(CJ대한통운),123449,4175,2245,3.38,1.82,5.68,123.93(21),81.91(21),"2,700.68(21)",8842,10.39,177589,0.52,7,-,-
hanwha(한화),625880,33140,26290,5.29,4.2,43.54,861.49(21),70.03(21),"1,045.63(21)",16367,1.72,26318,1.07,805,2.39(21),7.75(21)
